conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1966878547630502183,Sun Sep 14 23:58:58 +0000 2025,0,@Dennysiregar7 ...sebuah kenyataan bahwa rakyat ini dibohongi oleh Mulyono yg halu jadi tukang insinyur,1967377566463082894,,Dennysiregar7,in,,0,0,0,https://x.com/undefined/status/1967377566463082894,1234720928,
1967093180375142848,Sun Sep 14 23:58:17 +0000 2025,0,@AntoniusCDN @LaiElfrid @Anak__Ogi @Ary_PrasKe2 @CakKhum @ch_chotimah2 @DS_yantie @kenhans03 @KPK_RI @prabowo @Gerindra @NgkongRoses Coba cari di rmh Mulyono..,1967377395285123527,,AntoniusCDN,in,,0,0,0,https://x.com/undefined/status/1967377395285123527,36009942,
1967262929046409511,Sun Sep 14 23:57:05 +0000 2025,0,@Opposisi6890 Hmmm tahe...TerMul jg ternyata...TerMul tolol... penjilat pant*t Mulyono...,1967377091739132189,,Opposisi6890,in,,0,0,0,https://x.com/undefined/status/1967377091739132189,1686669126344015877,
1967376654810120230,Sun Sep 14 23:55:21 +0000 2025,9,Padahal Cak Imin dukung Anies dan jadi cawapres Anies.. Kok bisa.aman?! Padahal Gus Yaqut dan pasukannya dukung Prabowo Gibran tapi memang dari jalur Mulyono.. Apakah ini pertanda sedang Bersih-Bersih kubu Mulyono?! https://t.co/ukTauzdGoR,1967376654810120230,https://pbs.twimg.com/media/G02Go92aQAAtVeJ.jpg,,in,,0,3,2,https://x.com/undefined/status/1967376654810120230,214159664,
1967375446561153509,Sun Sep 14 23:52:15 +0000 2025,0,kyk mereka kira trias politica beneran kebagi 3 bnrn per departemen . dan mulyono itu cm rakyat biasa kaya kita gaada power nya lagi ,1967375875068068244,,kayeedul,in,,0,0,0,https://x.com/undefined/status/1967375875068068244,1474082133681442828,
1967243066223509791,Sun Sep 14 23:50:39 +0000 2025,4,@WagimanDeep212_ Kek kloningan Mulyono diam2 mantau dari Oslo .,1967375474960760921,,WagimanDeep212_,in,,0,0,0,https://x.com/undefined/status/1967375474960760921,1547231490001743872,
1967375446561153509,Sun Sep 14 23:50:33 +0000 2025,0,ternyata di tiktok masih pada lugu dan ngira mulyono bukan dalang dari menteri gila ya ,1967375446561153509,,,in,,0,1,0,https://x.com/undefined/status/1967375446561153509,1474082133681442828,
1967145840461705741,Sun Sep 14 23:48:52 +0000 2025,0,@FeryMochFi27131 @orange_barbar @KangManto123 Secara resmi nama Joko Widodo tidak berubah menjadi Mulyono. Tapi dia lahir dengan nama Mulyono dan diganti saat kecil karena sering sakit. Sekarang Mulyono jadi meme lucu di medsos untuk sebutan dia pasca-presiden. ,1967375022944907319,,FeryMochFi27131,in,,0,0,0,https://x.com/undefined/status/1967375022944907319,1720665183188922368,
1967374430256115853,Sun Sep 14 23:46:30 +0000 2025,0,demi fufufafa anak mulyono,1967374430256115853,,,in,,0,0,0,https://x.com/undefined/status/1967374430256115853,1492489217272061953,
1967039204933988354,Sun Sep 14 23:45:35 +0000 2025,0,@alisyarief NU skrg dikendalikan mulyono,1967374197031886959,,alisyarief,in,,0,0,0,https://x.com/undefined/status/1967374197031886959,1619883072652189698,
1967163624448995684,Sun Sep 14 23:44:06 +0000 2025,0,@salam4jari Rusak negeri ini gara ² ulah satu orang saja MULYONO,1967373825550815375,,salam4jari,in,,0,0,0,https://x.com/undefined/status/1967373825550815375,915431081335074816,
1967262929046409511,Sun Sep 14 23:41:15 +0000 2025,0,@Opposisi6890 Admin kalah saing yaa. Awal mula mulyono cari simpati rakyat siapa yg ga kelenger...semua di brantas. Ide2nya bikin Indonesia semngat. Tp setelah di ujung jabatan eh malah ke blenger tuh mulyono,1967373108295418365,,Opposisi6890,in,,0,0,0,https://x.com/undefined/status/1967373108295418365,1328142546271232005,
1967372967824032120,Sun Sep 14 23:40:42 +0000 2025,0,#saverajaampat dari perampok genk mulyono,1967372967824032120,,,in,,0,0,0,https://x.com/undefined/status/1967372967824032120,587395139,
